Rating,Review,Comments
5,Must buy!,This is a best product nova hair trimmer 1073-00 USB...Quality is more best and design is awesome...And flipkart delivery is best time ...READ MORE
5,Super!,this is a eversome product. it is every easy to use. it was a wonderful     and beautiful product. 👍👍👍READ MORE
5,Must buy!,Nice trimmer in this range nice battery backup blades perfomance also very good satisfy with this product super fast delievery by flipkart thankyou flipkart always good exprience with youREAD MORE
3,Good,Nice work now good I used for hair cut niceREAD MORE
5,Classy product,Pruduct is good Smooth trimFast usb charge at this price segment 1 hr charge is enough to use for 15 minutesMotor works goodIt will be best for beginners youngers....If u have 500-600 of budget then go for it....Battery is also works good.....READ MORE
5,Just wow!,"Amazed to get this product in lockdown, thank you for the super fast deliveryREAD MORE"
3,Nice,Awesome product at good prices.I am happy with this product. Fast and secure delivery by flipkart.READ MORE
5,Awesome,"Absolute steal at the price I bought it. Decent trim, looks good as well, charge lasts enough for quite a few shaves as wellREAD MORE"
4,Delightful,"Superb trimmer with compact size and very good runtime in one charge , inbuilt size adjustable cap may have made it best product in this price rangeREAD MORE"
5,Mind-blowing purchase,Very nice and battery best backup Bless verynice super trimmerTQ flipkart awesome selling trimmerREAD MORE
4,Pretty good,"The instruction manual is good enough to get yourselves acquainted with the product. The detachable blade can be a bit fishy since it doesn't come off that easily.Other than that, it does its jobREAD MORE"
4,Good quality product,"I got my delivery within 12 hours of order placement and on time, the trimmer is functioning very well and I'm happy with my choice.Amazing price and awesome product.READ MORE"
5,Mind-blowing purchase,It's an amazing product for the price I paid. Worth every rupee. Just buy and u will be happyAnd the battery is just awesome . With just one charge one can use it for like one to two months with 2 or 3 shaves per monthREAD MORE
5,Fabulous!,nice products easy to use looking great easy to carry over all good products as compare to priceREAD MORE
5,Highly recommended,I used it just once. look like a premium quality product. Nova is always doing great job in trimmer. very happy to get such type of product. thanks Flipkart.READ MORE
4,Good choice,good condition works good easy to useREAD MORE
5,Brilliant,good work and good product. I like it.READ MORE
5,Terrific purchase,"Good product.. I always prefer nova trimmer for man quality, precision everything is perfect this is the 3-4th time i have ordered nova trimmer all the time it gives me wow quality i can trim my beard the way i want the best is its 4 clipper of different sizes helps a lot so loved it.. Statisfied with this thank you so muchREAD MORE"
